sentence	pictos_ref_ids	sense_keys
à quelle fréquence viennent les douleurs dans la poitrine	[[7041], [22620], [37162], [7079], [8477], [11241], [11241], [11241], [11241]]	[[], [], ['again%4:02:00::', 'once_again%4:02:00::', 'once_more%4:02:00::', 'over_again%4:02:00::'], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], [], ['chest_pain%1:26:00::'], ['chest_pain%1:26:00::'], ['chest_pain%1:26:00::'], ['chest_pain%1:26:00::']]
la douleur est causée par le froid	[[8476], [2367], [5858], [12295], [7212], [8476], [35557]]	[[], ['hurting%1:26:00::', 'pain%1:26:00::', 'pain%1:09:00::', 'pain_sensation%1:09:00::', 'painful_sensation%1:09:00::'], ['be%2:42:03::', 'be%2:42:06::'], ['cause%1:11:00::', 'cause%1:10:00::', 'grounds%1:10:00::', 'reason%1:10:00::', 'origin%1:22:00::', 'inception%1:11:00::', 'origin%1:11:00::', 'origination%1:11:00::'], [], [], ['cold%1:09:00::', 'coldness%1:09:00::']]
c'est la première fois que vous avez fait un malaise	[[], [5858], [8476], [32129], [27385], [11351], [2608], [9001], [], [8474], [5442]]	[[], ['be%2:42:03::', 'be%2:42:06::'], [], ['first%3:00:00::', '1st%5:00:00:ordinal:00', 'first%5:00:00:ordinal:00'], ['play%1:04:01::', 'turn%1:04:06::', 'in_one_case%4:02:00::', 'once%4:02:00::', 'one_time%4:02:00::', 'sometime%4:02:00::', 'clip%1:11:00::', 'time%1:11:00::'], [''], [], ['be%2:42:00::', 'exist%2:42:00::'], [], [], ['deliquium%1:11:00::', 'faint%1:11:00::', 'swoon%1:11:00::', 'syncope%1:11:00::', 'conk%2:29:00::', 'faint%2:29:00::', 'pass_out%2:29:00::', 'swoon%2:29:00::']]
devez vous vous tenir aux meubles pour marcher	[[15525], [2608], [], [6888], [11709], [32594], [7194], [2432]]	[['compel%2:41:00::', 'obligate%2:41:00::', 'oblige%2:41:00::'], [], [], ['grapple%2:35:01::', 'grip%2:35:03::', 'grip%2:35:00::', 'hold%2:35:00::', 'take_hold%2:35:00::', 'grasp%2:35:00::', 'hold_on%2:35:00::', 'get_hold_of%2:35:00::', 'take%2:35:00::'], [], ['category%1:14:00::', 'class%1:14:00::', 'family%1:14:04::', 'article_of_furniture%1:06:00::', 'furniture%1:06:00::', 'piece_of_furniture%1:06:00::'], [], ['go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::']]
suivez vous un régime alimentaire	[[27331], [2608], [8474], [11239], [4610]]	[['following%5:00:02:succeeding:00', 'next%5:00:00:succeeding:00', 'subsequent%3:00:00::', 'follow%2:42:03::'], [], [], ['diet%1:13:00::', 'diet%1:04:00::', 'dieting%1:04:00::', 'diet%2:34:01::', 'diet%2:34:00::'], ['food%1:13:00::', 'solid_food%1:13:00::', 'food%1:03:00::', 'nutrient%1:03:00::']]
avez vous des brûlures d'estomac	[[9001], [2608], [8477], [36155], [7074], [2786]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], ['burn%2:43:02::', 'combust%2:43:02::'], [], ['belly%1:08:02::', 'paunch%1:08:00::', 'abdomen%1:08:00::', 'belly%1:08:00::', 'stomach%1:08:01::', 'venter%1:08:00::', 'bay_window%1:08:00::', 'corporation%1:08:00::', 'pot%1:08:00::', 'potbelly%1:08:00::', 'tummy%1:08:01::']]
l'écoulement d'oreille est il jaune	[[8476], [31785], [7074], [2871], [5858], [], [2648]]	[[], ['release%2:29:00::', 'secrete%2:29:00::', 'secretion%1:08:00::', 'secernment%1:22:00::', 'secretion%1:22:00::'], [], ['auricle%1:08:02::', 'ear%1:08:01::', 'pinna%1:08:00::'], ['be%2:42:03::', 'be%2:42:06::'], [], ['xanthous%5:00:00:chromatic:00', 'yellow%5:00:00:chromatic:00', 'yellowish%5:00:00:chromatic:00', 'yellow%1:07:00::', 'yellowness%1:07:00::']]
sentez vous quelque chose quand je touche ici	[[30620], [2608], [], [], [22621], [2617], [3293], [5382]]	[['hurt%2:29:02::', 'suffer%2:29:00::', 'ache%2:39:01::', 'hurt%2:39:01::', 'suffer%2:39:00::', 'hurt%2:29:02::', 'suffer%2:29:00::', 'ache%2:39:01::', 'hurt%2:39:01::', 'suffer%2:39:00::'], [], [], [], [], [], ['adjoin%2:35:03::', 'contact%2:35:03::', 'meet%2:35:00::', 'touch%2:35:01::', 'touch%2:35:00::', 'touch%2:39:00::', 'touch%2:35:04::'], ['here%4:02:00::', 'knuckleball%1:04:00::', 'knuckler%1:04:00::', 'here%4:02:01::', 'hither%4:02:00::']]
je vais appuyer ici	[[2617], [7079], [3293], [5382]]	[[], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], ['adjoin%2:35:03::', 'contact%2:35:03::', 'meet%2:35:00::', 'touch%2:35:01::', 'touch%2:35:00::', 'touch%2:39:00::', 'touch%2:35:04::'], ['here%4:02:00::', 'knuckleball%1:04:00::', 'knuckler%1:04:00::', 'here%4:02:01::', 'hither%4:02:00::']]
je vais vous demander de vous coucher sur le ventre s'il vous plaît	[[2617], [7079], [2608], [9840], [7074], [2608], [6027], [7814], [8476], [2786], [8195], [8195], [8195], [8195]]	[[], ['direction%1:15:00::', 'way%1:15:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::', 'go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'channelise%2:38:03::', 'channelize%2:38:03::', 'direct%2:38:03::', 'guide%2:38:01::', 'head%2:38:01::', 'maneuver%2:38:00::', 'manoeuver%2:38:00::', 'manoeuvre%2:38:00::', 'point%2:38:05::', 'steer%2:38:00::'], [], ['ask%2:32:04::', 'enquire%2:32:00::', 'inquire%2:32:01::', 'demand%2:32:06::', 'query%2:32:00::', 'question%2:32:00::'], [], [], ['bed%2:29:00::', 'crawl_in%2:29:00::', 'go_to_bed%2:29:00::', 'go_to_sleep%2:29:01::', 'hit_the_hay%2:29:00::', 'hit_the_sack%2:29:00::', 'kip_down%2:29:00::', 'retire%2:29:00::', 'sack_out%2:29:00::', 'turn_in%2:29:00::', 'lie%2:38:00::', 'lie_down%2:38:00::'], [''], [], ['belly%1:08:02::', 'paunch%1:08:00::', 'abdomen%1:08:00::', 'belly%1:08:00::', 'stomach%1:08:01::', 'venter%1:08:00::', 'bay_window%1:08:00::', 'corporation%1:08:00::', 'pot%1:08:00::', 'potbelly%1:08:00::', 'tummy%1:08:01::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::']]
avez vous très mal au ventre	[[9001], [2608], [25708], [28765], [28765], [28765]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['rattling%4:02:00::', 'real%4:02:01::', 'really%4:02:00::', 'very%4:02:00::'], ['bellyache%1:26:00::', 'gastralgia%1:26:00::', 'stomach_ache%1:26:00::', 'stomachache%1:26:00::'], ['bellyache%1:26:00::', 'gastralgia%1:26:00::', 'stomach_ache%1:26:00::', 'stomachache%1:26:00::'], ['bellyache%1:26:00::', 'gastralgia%1:26:00::', 'stomach_ache%1:26:00::', 'stomachache%1:26:00::']]
marchez vous tous les jours	[[2432], [2608], [37029], [], [7022]]	[['go%2:38:00::', 'locomote%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::'], [], ['frequently%4:02:00::', 'oft%4:02:00::', 'often%4:02:00::', 'oftentimes%4:02:00::', 'ofttimes%4:02:00::'], [], ['day%1:28:02::', 'daylight%1:28:00::', 'daytime%1:28:00::']]
avez vous eu une radiothérapie	[[], [2608], [9001], [8474], [6198]]	[[], [], ['be%2:42:00::', 'exist%2:42:00::'], [], ['roentgenogram%1:06:00::', 'x-ray%1:06:00::', 'x-ray_photograph%1:06:00::', 'x-ray_picture%1:06:00::', 'x_ray%1:06:00::']]
depuis combien de jours avez vous de la fièvre	[[7077], [7073], [7074], [7022], [9001], [2608], [7074], [8476], [5470]]	[[], ['amount%1:03:00::', 'measure%1:03:00::', 'quantity%1:03:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], [], ['day%1:28:02::', 'daylight%1:28:00::', 'daytime%1:28:00::'], ['be%2:42:00::', 'exist%2:42:00::'], [], [], [], ['febricity%1:26:00::', 'febrility%1:26:00::', 'fever%1:26:00::', 'feverishness%1:26:00::', 'pyrexia%1:26:00::']]
avez vous froid	[[9001], [2608], [35557]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['cold%1:09:00::', 'coldness%1:09:00::']]
avez vous déjà été enceinte	[[9001], [2608], [37162], [5858], [6484]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['again%4:02:00::', 'once_again%4:02:00::', 'once_more%4:02:00::', 'over_again%4:02:00::'], ['be%2:42:03::', 'be%2:42:06::'], ['pregnant%3:00:00::']]
comment prenez vous le médicament	[[22619], [2349], [2608], [8476], [8359]]	[[''], ['eat%2:34:00::', 'consume%2:34:00::', 'have%2:34:00::', 'ingest%2:34:00::', 'take%2:34:00::', 'take_in%2:34:00::'], [], [], ['medicament%1:06:00::', 'medication%1:06:00::', 'medicinal_drug%1:06:00::', 'medicine%1:06:00::']]
de quelle couleur sont vos selles	[[7075], [7075], [7075], [], [12287], [8050]]	[['color%1:07:00::', 'coloring%1:07:00::', 'colour%1:07:00::', 'colouring%1:07:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], ['color%1:07:00::', 'coloring%1:07:00::', 'colour%1:07:00::', 'colouring%1:07:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], ['color%1:07:00::', 'coloring%1:07:00::', 'colour%1:07:00::', 'colouring%1:07:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], [], [''], ['crap%1:27:00::', 'dirt%1:27:02::', 'poop%1:27:00::', 'shit%1:27:00::', 'shite%1:27:00::', 'turd%1:27:00::', 'body_waste%1:27:00::', 'excrement%1:27:00::', 'excreta%1:27:00::', 'excretion%1:27:00::', 'excretory_product%1:27:00::', 'bm%1:27:00::', 'dejection%1:27:00::', 'faecal_matter%1:27:00::', 'faeces%1:27:00::', 'fecal_matter%1:27:00::', 'feces%1:27:00::', 'ordure%1:27:00::', 'stool%1:27:00::']]
saignez vous souvent du nez	[[2803], [2608], [37029], [11712], [2887]]	[['blood%1:08:00::'], [], ['frequently%4:02:00::', 'oft%4:02:00::', 'often%4:02:00::', 'oftentimes%4:02:00::', 'ofttimes%4:02:00::'], [], ['nose%1:08:00::', 'olfactory_organ%1:08:00::']]
vous êtes vous blessé au visage	[[2608], [5858], [], [24749], [11709], [2684]]	[[], ['be%2:42:03::', 'be%2:42:06::'], [], ['plug%2:35:00::', 'punch%2:35:00::', 'box%2:35:00::', 'abuse%2:41:00::', 'ill-treat%2:41:00::', 'ill-use%2:41:00::', 'maltreat%2:41:00::', 'mistreat%2:41:00::', 'step%2:41:00::'], [], ['face%1:08:00::', 'human_face%1:08:01::']]
la douleur au ventre vous bloque t elle la respiration	[[8476], [28765], [28765], [28765], [2608], [8289], [], [], [8476], [34377]]	[[], ['bellyache%1:26:00::', 'gastralgia%1:26:00::', 'stomach_ache%1:26:00::', 'stomachache%1:26:00::'], ['bellyache%1:26:00::', 'gastralgia%1:26:00::', 'stomach_ache%1:26:00::', 'stomachache%1:26:00::'], ['bellyache%1:26:00::', 'gastralgia%1:26:00::', 'stomach_ache%1:26:00::', 'stomachache%1:26:00::'], [], ['catch%1:06:02::', 'stop%1:06:00::', 'arrest%1:26:00::', 'check%1:26:00::', 'halt%1:26:00::', 'hitch%1:26:00::', 'stay%1:26:00::', 'stop%1:26:00::', 'stoppage%1:26:00::'], [], [], [], ['a_capella%4:02:00::', 'a_cappella%4:02:00::', 'able%3:00:00::', 'breathe%2:29:00::', 'entity%1:03:00::', 'respire%2:29:00::', 'suspire%2:29:03::', 'take_a_breath%2:29:00::']]
avez vous terminé les antibiotiques	[[9001], [2608], [5358], [8477], [8163]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['destination%1:15:00::', 'finish%1:15:00::', 'goal%1:15:00::', 'finish%1:04:00::', 'finishing%1:04:00::', 'end%1:15:01::', 'cease%2:42:13::', 'end%2:42:00::', 'finish%2:42:00::', 'stop%2:42:13::', 'terminate%2:42:00::'], [], ['medicament%1:06:00::', 'medication%1:06:00::', 'medicinal_drug%1:06:00::', 'medicine%1:06:00::', 'intervention%1:04:02::', 'treatment%1:04:00::']]
contrôlez vous votre tension artérielle chaque jour	[[2474], [2608], [12285], [8235], [8235], [37029], [7022]]	[['see%2:39:00::', 'look%2:39:00::', 'consider%2:39:08::', 'look_at%2:39:01::', 'view%2:39:00::', 'observe%2:39:00::'], [], [''], ['blood_pressure%1:19:00::', 'take%2:30:08::'], ['blood_pressure%1:19:00::', 'take%2:30:08::'], ['frequently%4:02:00::', 'oft%4:02:00::', 'often%4:02:00::', 'oftentimes%4:02:00::', 'ofttimes%4:02:00::'], ['day%1:28:02::', 'daylight%1:28:00::', 'daytime%1:28:00::']]
votre diabète est il équilibré	[[12285], [28245], [5858], [], [5397]]	[[''], ['diabetes%1:26:00::'], ['be%2:42:03::', 'be%2:42:06::'], [], ['good%4:02:00::', 'well%4:02:00::', 'correct%3:00:04::', 'right%3:00:04::', 'all_right%5:00:00:satisfactory:00', 'cool%5:00:00:satisfactory:00', 'fine%5:00:00:satisfactory:00', 'hunky-dory%5:00:00:satisfactory:00', 'o.k.%5:00:00:satisfactory:00', 'ok%5:00:00:satisfactory:00', 'okay%5:00:00:satisfactory:00', 'o.k.%1:10:00::', 'ok%1:10:00::', 'okay%1:10:00::', 'okeh%1:10:00::', 'okey%1:10:00::']]
pendant combien de minutes dure votre douleur au ventre	[[24737], [7073], [7074], [37374], [17050], [12285], [28765], [28765], [28765]]	[[], ['amount%1:03:00::', 'measure%1:03:00::', 'quantity%1:03:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], [], ['min%1:28:00::', 'minute%1:28:00::'], ['continue%2:42:01::', 'go_along%2:42:00::', 'go_on%2:42:00::', 'keep%2:42:07::', 'proceed%2:42:00::', 'endure%2:42:06::', 'last%2:42:00::'], [''], ['bellyache%1:26:00::', 'gastralgia%1:26:00::', 'stomach_ache%1:26:00::', 'stomachache%1:26:00::'], ['bellyache%1:26:00::', 'gastralgia%1:26:00::', 'stomach_ache%1:26:00::', 'stomachache%1:26:00::'], ['bellyache%1:26:00::', 'gastralgia%1:26:00::', 'stomach_ache%1:26:00::', 'stomachache%1:26:00::']]
prenez vous plus de trois médicaments différents	[[2349], [2608], [16119], [], [2629], [8163], [4628]]	[['eat%2:34:00::', 'consume%2:34:00::', 'have%2:34:00::', 'ingest%2:34:00::', 'take%2:34:00::', 'take_in%2:34:00::'], [], ['greater%3:00:00::'], [], ['3%1:23:00::', 'deuce-ace%1:23:00::', 'iii%1:23:00::', 'leash%1:23:00::', 'tercet%1:23:00::', 'ternary%1:23:00::', 'ternion%1:23:00::', 'terzetto%1:23:00::', 'three%1:23:00::', 'threesome%1:23:00::', 'tierce%1:23:01::', 'trey%1:23:00::', 'triad%1:23:00::', 'trine%1:23:00::', 'trinity%1:23:00::', 'trio%1:23:00::', 'triplet%1:23:00::', 'troika%1:23:00::', '3%5:00:00:cardinal:00', 'iii%5:00:00:cardinal:00', 'three%5:00:00:cardinal:00', 'number%1:23:00::'], ['medicament%1:06:00::', 'medication%1:06:00::', 'medicinal_drug%1:06:00::', 'medicine%1:06:00::', 'intervention%1:04:02::', 'treatment%1:04:00::'], ['different%3:00:00::', 'divers%5:00:00:different:00', 'diverse%5:00:02:different:00']]
y a t il eu un changement dans le dosage du médicament	[[9001], [9001], [9001], [9001], [], [8474], [31955], [7034], [8476], [28639], [11712], [8359]]	[['be%2:42:00::', 'exist%2:42:00::'], ['be%2:42:00::', 'exist%2:42:00::'], ['be%2:42:00::', 'exist%2:42:00::'], ['be%2:42:00::', 'exist%2:42:00::'], [], [], ['exchange%1:04:03::'], [], [], ['dose%2:29:00::', 'drug%2:29:00::', 'predatory%5:00:00:aggressive:00', 'rapacious%5:00:00:aggressive:00', 'raptorial%5:00:00:aggressive:00', 'ravening%5:00:00:aggressive:00', 'vulturine%5:00:00:aggressive:00', 'vulturous%5:00:00:aggressive:00', 'dribble%2:35:10::', 'drip%2:35:10::', 'drop%2:35:12::'], [], ['medicament%1:06:00::', 'medication%1:06:00::', 'medicinal_drug%1:06:00::', 'medicine%1:06:00::']]
pendant combien de secondes avez vous perdu connaissance	[[24737], [7073], [7074], [22631], [9001], [2608], [5442], [5442]]	[[], ['amount%1:03:00::', 'measure%1:03:00::', 'quantity%1:03:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], [], ['time%1:28:05::', 'time%1:03:00::'], ['be%2:42:00::', 'exist%2:42:00::'], [], ['deliquium%1:11:00::', 'faint%1:11:00::', 'swoon%1:11:00::', 'syncope%1:11:00::', 'conk%2:29:00::', 'faint%2:29:00::', 'pass_out%2:29:00::', 'swoon%2:29:00::'], ['deliquium%1:11:00::', 'faint%1:11:00::', 'swoon%1:11:00::', 'syncope%1:11:00::', 'conk%2:29:00::', 'faint%2:29:00::', 'pass_out%2:29:00::', 'swoon%2:29:00::']]
avez vous envie de boire tout le temps	[[], [2608], [5441], [7074], [2276], [37029], [37029], [37029]]	[[], [], ['desire%2:37:00::', 'want%2:37:00::', 'need%2:34:00::', 'require%2:34:00::', 'want%2:34:00::', 'want%2:31:01::', 'wish%2:32:02::', 'wish%2:32:01::', 'feel_like%2:37:00::'], [], ['drink%2:34:00::', 'imbibe%2:34:00::'], ['frequently%4:02:00::', 'oft%4:02:00::', 'often%4:02:00::', 'oftentimes%4:02:00::', 'ofttimes%4:02:00::'], ['frequently%4:02:00::', 'oft%4:02:00::', 'often%4:02:00::', 'oftentimes%4:02:00::', 'ofttimes%4:02:00::'], ['frequently%4:02:00::', 'oft%4:02:00::', 'often%4:02:00::', 'oftentimes%4:02:00::', 'ofttimes%4:02:00::']]
avez vous des difficultés à parler	[[9001], [2608], [8477], [4629], [7041], [3345]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], ['difficult%3:00:00::', 'hard%3:00:06::', 'complex%5:00:01:complex:00', 'complicated%5:00:00:complex:00'], [], ['speak%2:32:02::', 'talk%2:32:03::', 'chaffer%2:32:00::', 'chat%2:32:00::', 'chatter%2:32:01::', 'chew_the_fat%2:32:00::', 'chit-chat%2:32:00::', 'chitchat%2:32:00::', 'claver%2:32:00::', 'confab%2:32:00::', 'confabulate%2:32:00::', 'gossip%2:32:01::', 'jaw%2:32:00::', 'natter%2:32:00::', 'shoot_the_breeze%2:32:00::', 'visit%2:32:00::', 'converse%2:32:00::', 'discourse%2:32:01::']]
avez vous été vacciné contre la grippe	[[], [2608], [5858], [7293], [7067], [8476], [5479]]	[[], [], ['be%2:42:03::', 'be%2:42:06::'], ['immunise%2:29:00::', 'immunize%2:29:00::', 'inoculate%2:29:00::', 'vaccinate%2:29:00::'], [], [], ['flu%1:26:00::', 'grippe%1:26:00::', 'influenza%1:26:00::']]
avez vous été opéré pour un cancer	[[], [2608], [5858], [5530], [7194], [8474], [6637]]	[[], [], ['be%2:42:03::', 'be%2:42:06::'], ['operate%2:29:00::', 'operate_on%2:29:00::'], [], [], ['illness%1:26:00::', 'malady%1:26:00::', 'sickness%1:26:00::', 'unwellness%1:26:00::']]
depuis combien de semaines	[[7077], [7073], [7074], [7244]]	[[], ['amount%1:03:00::', 'measure%1:03:00::', 'quantity%1:03:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], [], ['calendar_week%1:28:00::', 'week%1:28:02::']]
avez vous la tête qui tourne	[[9001], [2608], [7155], [7155], [7155], [7155]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['dizzy%2:30:00::'], ['dizzy%2:30:00::'], ['dizzy%2:30:00::'], ['dizzy%2:30:00::']]
êtes vous diabétique	[[5858], [2608], [28245]]	[['be%2:42:03::', 'be%2:42:06::'], [], ['diabetes%1:26:00::']]
pouvez vous respirer correctement par le nez	[[11750], [2608], [34377], [5397], [7212], [8476], [2887]]	[[''], [], ['a_capella%4:02:00::', 'a_cappella%4:02:00::', 'able%3:00:00::', 'breathe%2:29:00::', 'entity%1:03:00::', 'respire%2:29:00::', 'suspire%2:29:03::', 'take_a_breath%2:29:00::'], ['good%4:02:00::', 'well%4:02:00::', 'correct%3:00:04::', 'right%3:00:04::', 'all_right%5:00:00:satisfactory:00', 'cool%5:00:00:satisfactory:00', 'fine%5:00:00:satisfactory:00', 'hunky-dory%5:00:00:satisfactory:00', 'o.k.%5:00:00:satisfactory:00', 'ok%5:00:00:satisfactory:00', 'okay%5:00:00:satisfactory:00', 'o.k.%1:10:00::', 'ok%1:10:00::', 'okay%1:10:00::', 'okeh%1:10:00::', 'okey%1:10:00::'], [], [], ['nose%1:08:00::', 'olfactory_organ%1:08:00::']]
avez vous des douleurs musculaires	[[9001], [2608], [8477], [2367], [24196]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], ['hurting%1:26:00::', 'pain%1:26:00::', 'pain%1:09:00::', 'pain_sensation%1:09:00::', 'painful_sensation%1:09:00::'], ['muscle_system%1:08:00::', 'muscular_structure%1:08:00::', 'musculature%1:08:00::']]
vous a t on retiré une dent	[[2608], [9001], [], [], [11751], [8474], [10267]]	[[], ['be%2:42:00::', 'exist%2:42:00::'], [], [], ['move_out%2:41:00::', 'remove%2:41:02::', 'take_out%2:41:01::', 'draw_out%2:35:05::', 'extract%2:35:04::', 'pull%2:35:10::', 'pull_out%2:35:00::', 'pull_up%2:35:00::', 'rip_out%2:35:00::', 'take_out%2:35:09::', 'tear_out%2:35:00::'], [], ['tooth%1:08:00::']]
les aliments remontent ils	[[8477], [4610], [24725], []]	[[], ['food%1:13:00::', 'solid_food%1:13:00::', 'food%1:03:00::', 'nutrient%1:03:00::'], ['arise%2:38:04::', 'come_up%2:38:03::', 'go_up%2:38:00::', 'lift%2:38:03::', 'move_up%2:38:00::', 'rise%2:38:00::', 'uprise%2:38:01::'], []]
avez vous des crampes à l'estomac	[[9001], [2608], [8477], [2367], [7041], [8476], [3309]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], ['hurting%1:26:00::', 'pain%1:26:00::', 'pain%1:09:00::', 'pain_sensation%1:09:00::', 'painful_sensation%1:09:00::'], [], [], ['breadbasket%1:08:00::', 'stomach%1:08:00::', 'tum%1:08:00::', 'tummy%1:08:00::']]
pouvez vous me montrer le carnet de vaccination	[[11750], [2608], [2617], [11308], [8476], [25191], [7074], [30072]]	[[''], [], [], ['demo%2:39:00::', 'demonstrate%2:39:01::', 'exhibit%2:39:00::', 'present%2:39:00::', 'show%2:39:02::', 'show%2:39:00::'], [], ['book%1:10:00::'], [], ['inoculation%1:04:00::', 'vaccination%1:04:00::']]
le test de grossesse était il positif	[[8476], [31809], [31809], [31809], [5858], [], []]	[[], ['pregnancy_test%1:09:00::'], ['pregnancy_test%1:09:00::'], ['pregnancy_test%1:09:00::'], ['be%2:42:03::', 'be%2:42:06::'], [], []]
combien de comprimés prenez vous à la fois	[[7073], [7074], [34565], [2349], [2608], [11709], [4667], [22631]]	[['amount%1:03:00::', 'measure%1:03:00::', 'quantity%1:03:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], [], ['lozenge%1:06:00::', 'pill%1:06:00::', 'tab%1:06:00::', 'tablet%1:06:00::'], ['eat%2:34:00::', 'consume%2:34:00::', 'have%2:34:00::', 'ingest%2:34:00::', 'take%2:34:00::', 'take_in%2:34:00::'], [], [], ['equal%3:00:00::', 'like%3:00:02::', 'same%3:00:04::', 'such%4:02:00::'], ['time%1:28:05::', 'time%1:03:00::']]
quand avez vous mangé pour la dernière fois	[[22621], [9001], [2608], [2349], [7194], [8476], [9839], [27385]]	[[], ['be%2:42:00::', 'exist%2:42:00::'], [], ['eat%2:34:00::', 'consume%2:34:00::', 'have%2:34:00::', 'ingest%2:34:00::', 'take%2:34:00::', 'take_in%2:34:00::'], [], [], ['past%3:00:00::'], ['play%1:04:01::', 'turn%1:04:06::', 'in_one_case%4:02:00::', 'once%4:02:00::', 'one_time%4:02:00::', 'sometime%4:02:00::', 'clip%1:11:00::', 'time%1:11:00::']]
avez vous déjà eu un caillot sanguin dans les jambes	[[], [2608], [37162], [9001], [8474], [7074], [2803], [7034], [8477], [8666]]	[[], [], ['again%4:02:00::', 'once_again%4:02:00::', 'once_more%4:02:00::', 'over_again%4:02:00::'], ['be%2:42:00::', 'exist%2:42:00::'], [], [], ['blood%1:08:00::'], [], [], ['leg%1:08:01::']]
êtes vous tombé malade lors du voyage	[[5858], [2608], [2376], [2376], [24737], [], [11393]]	"[['be%2:42:03::', 'be%2:42:06::'], [], ['come_down%2:29:00::', 'sicken%2:29:00::', 'nauseate%2:39:00::', 'sicken%2:39:00::', ""turn_one's_stomach%2:39:00::""], ['come_down%2:29:00::', 'sicken%2:29:00::', 'nauseate%2:39:00::', 'sicken%2:39:00::', ""turn_one's_stomach%2:39:00::""], [], [], ['trip%1:04:00::', 'itinerary%1:09:00::', 'travel_plan%1:09:00::', 'itinerary%1:15:00::', 'path%1:15:00::', 'route%1:15:00::']]"
